eventName,eventSource,username,awsRegion,hour,day_of_week,month,is_weekend,is_root,is_error,is_access_denied,is_mfa_false,is_iam_event,is_cloudtrail_event,is_console_login,is_s3_event,is_ec2_event,is_from_unknown_ip,is_us_east_1,risk_score,source_ip_is_real,source_ip_is_service,user_agent_is_console,user_agent_is_cli,user_agent_is_sdk,eventTime,sourceIPAddress,risk_level,user_total_events,user_hour_count,user_dayofweek_count,user_event_count,user_source_count,user_ip_count,user_region_count,global_event_count,global_source_count,global_ip_count,user_unique_ip_count,user_unique_region_count,user_unique_event_count,user_event_ratio,user_source_ratio,user_ip_ratio,user_region_ratio,user_hour_ratio,is_rare_event_for_user,is_rare_source_for_user,is_rare_ip_for_user,is_rare_region_for_user,is_rare_hour_for_user,is_globally_rare_event,is_globally_rare_ip,behavior_risk_score,is_internal_service_ip,is_service_user,is_human_user,is_automation_activity,is_human_activity,is_root_human_activity,is_suspicious_access_denied_human,refined_risk_score,review_priority,prediction,anomaly_score,is_anomaly,strict_automation_user,strict_automation_ip,strict_human_user,strict_automation_activity,strict_human_activity,final_is_human_alert,final_alert_score,final_alert_label
CreateLogStream,logs.amazonaws.com,level6,us-west-2,20,6,2,1,0,1,1,1,0,0,0,0,0,0,0,5,1,0,0,0,0,2017-02-19 20:52:08+00:00,98.177.159.7,high,5,5,5,4,5,2,5,3621,6873,5,2,1,2,0.8,1.0,0.4,1.0,1.0,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0997448476178703,1,0,0,1,0,1,1,19.974484761787032,high
CreateLogStream,logs.amazonaws.com,level6,us-west-2,20,6,2,1,0,1,1,1,0,0,0,0,0,0,0,5,1,0,0,0,0,2017-02-19 20:56:59+00:00,98.177.159.7,high,5,5,5,4,5,2,5,3621,6873,5,2,1,2,0.8,1.0,0.4,1.0,1.0,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0997448476178703,1,0,0,1,0,1,1,19.974484761787032,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,7,5,4,1,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,0,2017-04-29 07:51:53+00:00,22.70.11.196,high,16725,86,937,842,880,1,13696,11259,76117,2,651,16,34,0.0503437967115097,0.0526158445440956,5.979073243647235e-05,0.8188938714499253,0.0051420029895366,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0703535101730794,1,0,0,1,0,1,1,17.03535101730794,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,14,6,9,1,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2019-09-22 14:23:23+00:00,5.250.86.164,high,16725,109,3093,842,880,2,13696,11259,76117,4,651,16,34,0.0503437967115097,0.0526158445440956,0.0001195814648729,0.8188938714499253,0.0065171898355754,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0584047645190877,1,0,0,1,0,1,1,15.84047645190877,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,13,6,6,1,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2017-06-04 13:53:29+00:00,235.253.3.8,high,16725,109,3093,842,880,2,13696,11259,76117,8,651,16,34,0.0503437967115097,0.0526158445440956,0.0001195814648729,0.8188938714499253,0.0065171898355754,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0584047645190877,1,0,0,1,0,1,1,15.84047645190877,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,13,6,6,1,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2017-06-04 13:27:51+00:00,235.253.3.8,high,16725,109,3093,842,880,2,13696,11259,76117,8,651,16,34,0.0503437967115097,0.0526158445440956,0.0001195814648729,0.8188938714499253,0.0065171898355754,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0584047645190877,1,0,0,1,0,1,1,15.84047645190877,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,14,6,9,1,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2019-09-22 14:04:30+00:00,5.250.86.164,high,16725,109,3093,842,880,2,13696,11259,76117,4,651,16,34,0.0503437967115097,0.0526158445440956,0.0001195814648729,0.8188938714499253,0.0065171898355754,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0584047645190877,1,0,0,1,0,1,1,15.84047645190877,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,22,4,7,0,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2018-07-20 22:02:21+00:00,118.2.6.7,high,16725,2754,437,842,880,1,13696,11259,76117,4,651,16,34,0.0503437967115097,0.0526158445440956,5.979073243647235e-05,0.8188938714499253,0.1646636771300448,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0582873702598164,1,0,0,1,0,1,1,15.82873702598164,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,3,5,2,1,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2020-02-29 03:57:02+00:00,145.218.250.86,high,16725,96,937,842,880,1,13696,11259,76117,10,651,16,34,0.0503437967115097,0.0526158445440956,5.979073243647235e-05,0.8188938714499253,0.0057399103139013,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0571964878261757,1,0,0,1,0,1,1,15.71964878261757,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,21,2,8,0,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2020-08-19 21:43:32+00:00,96.218.200.22,high,16725,3608,1926,842,880,1,13696,11259,76117,3,651,16,34,0.0503437967115097,0.0526158445440956,5.979073243647235e-05,0.8188938714499253,0.2157249626307922,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0563647893862749,1,0,0,1,0,1,1,15.63647893862749,high
